ID,State,AQI
1,Andaman & Nicobar,63
2,Andhra Pradesh,114
3,Arunachal Pradesh,63
4,Assam,71
5,Bihar,122
6,Chandigarh,171
7,Chhattisgarh,120
8,Daman & Diu,124
9,Delhi,213
10,Goa,102
11,Gujarat,137
12,Haryana,225
13,Himachal Pradesh,167
14,Jammu & Kashmir,107
15,Jharkhand,124
16,Karnataka,95
17,Kerala,71
18,Ladakh,146
19,Lakshadweep,87
20,Madhya Pradesh,129
21,Maharashtra,115
22,Manipur,69
23,Meghalaya,76
24,Mizoram,61
25,Nagaland,78
26,Odisha,91
27,Puducherry,103
28,Punjab,172
29,Rajasthan,191
30,Sikkim,76
31,Tamil Nadu,87
32,Telangana,136
33,Tripura,87
34,Uttar Pradesh,173
35,Uttarakhand,241
36,West Bengal,76
